date_bucket,BROWSER,SERVER,note,source
2026-08-19,8705,5498,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-20,8577,5125,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-21,7497,4541,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-22,7883,4864,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-23,9569,5783,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-24,10830,6540,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-25,11992,7139,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-26,9867,6054,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-27,8856,5462,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-28,9066,5609,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-29,8730,5297,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-30,10037,6268,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-31,10737,6534,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-09-01,11577,6867,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-09-02,10654,6435,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-09-03,8502,5249,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-09-04,7486,4588,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-09-05,7138,4337,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-09-06,1165,551,All events combined; per-event browser/server split and event_id dedup NOT IN SOURCE,ads_get_dataset_stats aggregation=event_source; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
