date_local_pacific_bucket,PageView,ViewContent,AddToCart,InitiateCheckout,AddPaymentInfo,Purchase,NewCustomerPurchase,ReturningCustomerPurchase,Lead,Contact,Search,source
2026-08-06,7240,3146,526,248,72,29,22,7,0,0,59,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-17,7522,3075,1129,477,169,39,32,7,3,9,256,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-18,6895,2742,1022,430,135,29,22,7,2,12,155,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-19,7130,3115,1246,411,127,31,20,11,3,5,120,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-20,7010,2810,842,417,176,37,28,9,0,3,116,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-21,6109,2636,903,351,126,32,23,9,0,3,85,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-22,6458,2850,925,383,94,30,27,3,3,0,120,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-23,7626,3255,1304,464,149,24,21,3,8,4,192,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-24,8684,3610,1178,567,198,49,31,18,3,4,189,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-25,9515,3721,1314,737,267,62,40,22,4,3,213,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-26,7990,3364,1029,530,208,56,40,15,9,15,202,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-27,7300,2967,960,460,156,41,29,12,3,12,189,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-28,7631,3297,956,378,105,28,19,9,0,0,151,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-29,7199,3185,924,392,116,27,17,10,0,6,163,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-30,8203,3685,1200,468,186,50,39,11,3,3,138,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-08-31,8656,3662,1169,617,203,52,33,19,0,6,242,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-09-01,9073,3782,1486,678,254,61,43,18,5,0,176,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-09-02,8687,3602,1073,510,241,55,38,17,5,14,165,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-09-03,7053,3057,979,363,152,39,33,6,0,8,167,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-09-04,6165,2869,757,329,115,21,14,7,3,3,76,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-09-05,5827,2547,763,328,134,23,13,10,5,0,166,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
2026-09-06,908,385,119,42,4,0,0,0,0,0,25,ads_get_dataset_stats aggregation=event start 2026-08-06 (28-day max lookback); timestamps returned in -0700; captured 2026-09-06 ~10:26-10:45 UTC (12:26-12:45 Africa/Johannesburg)
