date,ad_spend_zar,impressions,outbound_clicks,landing_page_views,add_to_cart,initiate_checkout,attributed_purchases,attributed_value_zar,atc_per_lpv,shopify_orders_containing_hand_cream,stock_state,source
2026-08-25,224.12,2213,77,75,9,1,0,0,0.12,0,"out of stock (0 orders, inventory 0, availableForSale false at 2026-09-06)",Meta ad 120247999501100393 daily (time_increment=1); Shopify FROM sales WHERE product_title=Anti-Pigment Hand Cream SPF30; product 8818191630577 inventory 0; captured 2026-09-06 10:58 UTC
2026-08-26,199.46,2452,107,86,14,11,3,2313.5,0.163,0,"out of stock (0 orders, inventory 0, availableForSale false at 2026-09-06)",Meta ad 120247999501100393 daily (time_increment=1); Shopify FROM sales WHERE product_title=Anti-Pigment Hand Cream SPF30; product 8818191630577 inventory 0; captured 2026-09-06 10:58 UTC
2026-08-27,183.98,2727,76,58,5,2,0,0,0.086,0,"out of stock (0 orders, inventory 0, availableForSale false at 2026-09-06)",Meta ad 120247999501100393 daily (time_increment=1); Shopify FROM sales WHERE product_title=Anti-Pigment Hand Cream SPF30; product 8818191630577 inventory 0; captured 2026-09-06 10:58 UTC
2026-08-28,213.23,3427,85,72,5,4,0,0,0.069,0,"out of stock (0 orders, inventory 0, availableForSale false at 2026-09-06)",Meta ad 120247999501100393 daily (time_increment=1); Shopify FROM sales WHERE product_title=Anti-Pigment Hand Cream SPF30; product 8818191630577 inventory 0; captured 2026-09-06 10:58 UTC
2026-08-29,301.34,3804,123,112,7,3,1,1226.75,0.062,0,"out of stock (0 orders, inventory 0, availableForSale false at 2026-09-06)",Meta ad 120247999501100393 daily (time_increment=1); Shopify FROM sales WHERE product_title=Anti-Pigment Hand Cream SPF30; product 8818191630577 inventory 0; captured 2026-09-06 10:58 UTC
2026-08-30,276.88,3160,106,87,17,8,2,2793.5,0.195,0,"out of stock (0 orders, inventory 0, availableForSale false at 2026-09-06)",Meta ad 120247999501100393 daily (time_increment=1); Shopify FROM sales WHERE product_title=Anti-Pigment Hand Cream SPF30; product 8818191630577 inventory 0; captured 2026-09-06 10:58 UTC
2026-08-31,248.66,3002,97,93,10,1,1,1346.75,0.108,0,"out of stock (0 orders, inventory 0, availableForSale false at 2026-09-06)",Meta ad 120247999501100393 daily (time_increment=1); Shopify FROM sales WHERE product_title=Anti-Pigment Hand Cream SPF30; product 8818191630577 inventory 0; captured 2026-09-06 10:58 UTC
2026-09-01,269.77,4677,114,96,14,15,6,3361.25,0.146,0,"out of stock (0 orders, inventory 0, availableForSale false at 2026-09-06)",Meta ad 120247999501100393 daily (time_increment=1); Shopify FROM sales WHERE product_title=Anti-Pigment Hand Cream SPF30; product 8818191630577 inventory 0; captured 2026-09-06 10:58 UTC
2026-09-02,266.31,5051,116,95,4,4,1,250.0,0.042,0,"out of stock (0 orders, inventory 0, availableForSale false at 2026-09-06)",Meta ad 120247999501100393 daily (time_increment=1); Shopify FROM sales WHERE product_title=Anti-Pigment Hand Cream SPF30; product 8818191630577 inventory 0; captured 2026-09-06 10:58 UTC
2026-09-03,308.27,5303,141,110,13,3,1,999.0,0.118,0,"out of stock (0 orders, inventory 0, availableForSale false at 2026-09-06)",Meta ad 120247999501100393 daily (time_increment=1); Shopify FROM sales WHERE product_title=Anti-Pigment Hand Cream SPF30; product 8818191630577 inventory 0; captured 2026-09-06 10:58 UTC
2026-09-04,268.53,4564,124,99,7,1,1,622.25,0.071,0,"out of stock (0 orders, inventory 0, availableForSale false at 2026-09-06)",Meta ad 120247999501100393 daily (time_increment=1); Shopify FROM sales WHERE product_title=Anti-Pigment Hand Cream SPF30; product 8818191630577 inventory 0; captured 2026-09-06 10:58 UTC
2026-09-05,329.78,5243,148,122,6,4,1,622.25,0.049,0,"out of stock (0 orders, inventory 0, availableForSale false at 2026-09-06)",Meta ad 120247999501100393 daily (time_increment=1); Shopify FROM sales WHERE product_title=Anti-Pigment Hand Cream SPF30; product 8818191630577 inventory 0; captured 2026-09-06 10:58 UTC
2026-09-06,97.66,1502,37,27,2,2,0,0,0.074,0,"out of stock (0 orders, inventory 0, availableForSale false at 2026-09-06)",Meta ad 120247999501100393 daily (time_increment=1); Shopify FROM sales WHERE product_title=Anti-Pigment Hand Cream SPF30; product 8818191630577 inventory 0; captured 2026-09-06 10:58 UTC
