campaign,field,text,impr,clicks,conv,value,labels,n_ad_groups
Pastry | Sea,HEADLINE,Shop Glycolic Acid Body Wash,464,36,0.0,0.0,NOT_APPLICABLE,1
Pastry_Brand,HEADLINE,250ml SA-made Body Wash,448,191,6.7,4646.81,NOT_APPLICABLE,1
Pastry_Brand,HEADLINE,Moisturisers From R119,404,135,3.0,1070.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Niacinamide & Panthenol body lotion for hyperpigmentation & uneven tone.,357,60,4.0,2785.25,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Shop Niacinamide Body Lotion online at Pastry Skincare.,331,59,4.0,2785.25,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Niacinamide Body Lotion,278,50,4.0,2785.25,NOT_APPLICABLE,1
Pastry_Brand,HEADLINE,Try before full size of kit,275,107,4.8,3302.33,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,"SLS-free body wash with Mandelic Acid, Kojic Acid & Licorice Root Extract.",268,40,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Mandelic Acid Body Wash,258,38,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Shop Mandelic Acid Body Wash online at Pastry Skincare.,255,39,0.0,0.0,NOT_APPLICABLE,1
Pastry_Brand,DESCRIPTION,Glycolic Acid Body Wash + Niacinamide Lotion + Loofah,231,89,1.0,655.89,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Shop Salicylic Acid Body Wash,230,12,0.0,0.0,NOT_APPLICABLE,1
Pastry_Brand,HEADLINE,Pastry Skincare Niacinamide,225,81,5.3,5039.55,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Protect and brighten hands with Anti-Pigment Hand Cream SPF30 by Pastry Skincare.,204,52,2.0,550.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Shop Anti-Pigment Hand Cream SPF30 online at Pastry Skincare.,199,52,2.0,550.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Anti-Pigment Hand Cream SPF30,160,41,2.0,550.0,NOT_APPLICABLE,1
Pastry_Brand,HEADLINE,Glycolic Acid Body Wash,133,43,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Shop Anti-Pigment Hand Cream,122,42,2.0,550.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Pastry Skincare Anti-Pigment,109,27,2.0,550.0,NOT_APPLICABLE,1
Pastry_Brand,HEADLINE,Pigmentation Mini Kit,95,31,0.0,0.0,NOT_APPLICABLE,1
Pastry_Brand,HEADLINE,Reduce blemishes,93,26,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Shop Mandelic Acid Body Wash,92,9,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Shop Vitamin C Body Cream online at Pastry Skincare.,83,9,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Shop Niacinamide Body Lotion,80,5,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Mandarin-scented vitamin C & vitamin E body cream.,79,8,0.0,0.0,NOT_APPLICABLE,1
Pastry_Brand,HEADLINE,Glycolic Acid & Niacinamide,76,32,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Shop Lactic Acid Body Wash online at Pastry Skincare.,71,6,1.0,1270.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Gentle lactic acid body wash for sensitive skin.,70,7,1.0,1270.0,NOT_APPLICABLE,1
Pastry_Brand,HEADLINE,Niaciamide Body Lotion,68,22,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Lactic Acid Body Wash,61,6,1.0,1270.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Vitamin C Body Cream,57,5,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Shop Vitamin C Body Cream,55,5,0.0,0.0,NOT_APPLICABLE,1
Pastry_Brand,HEADLINE,Fade dark marks,54,16,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Shop Lactic Acid Body Wash,50,5,1.0,1270.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,"Face serum with 5% niacinamide, alpha arbutin & hyaluronic acid.",47,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Shop Pigmentation Correction Serum - 5% Niacinamide online at Pastry Skincare.,46,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Deodorant that fights odour AND brightens underarm dark marks.,45,1,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Pigmentation Correction Serum,43,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Anti Pigmentation Deodorant,42,1,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Shop Anti Pigmentation Deodorant online at Pastry Skincare.,40,1,0.0,0.0,NOT_APPLICABLE,1
Pastry_Brand,HEADLINE,Glycolic Acid Mini Kit,35,13,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Shop Pigmentation Serum,34,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Shop Anti-Pigment Deodorant,33,1,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Shop Barrier Repair Serum - 1.5% Ceramide online at Pastry Skincare.,28,2,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Hydrating body lotion with hyaluronic acid & Panthenol for dry skin.,27,3,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Ceramide face serum for barrier repair.,26,1,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Shop Hyaluronic Acid Body Lotion online at Pastry Skincare.,24,3,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Hyaluronic Acid Body Lotion,23,3,0.0,0.0,NOT_APPLICABLE,1
Pastry_Brand,HEADLINE,Niacinamide Body Lotion,19,10,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Barrier Repair Serum,17,1,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Shop Hyaluronic Body Lotion,17,2,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Niacinamide Body Butter,15,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Shop Niacinamide Body Butter online at Pastry Skincare.,15,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Rich niacinamide body butter for brightening & deep hydration.,15,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Shop Barrier Repair Serum,13,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,"Overnight body balm with salicylic acid, niacinamide, azelaic acid & squalane.",10,4,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,BHA Overnight Body Balm,9,3,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Barrier Repair Serum - 1.5%,8,1,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Shop BHA Overnight Body Balm online at Pastry Skincare.,7,3,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Shop BHA Body Gel Serum online at Pastry Skincare.,6,1,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Water-based BHA body gel with salicylic acid & citric acid.,6,1,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,BHA Body Gel Serum,5,1,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Shop Niacinamide Body Butter,5,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Shop BHA Body Gel Serum,4,1,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Shop Niacinamide Body Mist online at Pastry Skincare.,4,2,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Water-based niacinamide body mist with hyaluronic acid.,4,2,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Shop BHA Overnight Body Balm,3,1,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Niacinamide SPF50 Sunscreen,3,1,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Shop Niacinamide SPF50 Sunscreen online at Pastry Skincare.,3,1,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Niacinamide Body Mist,2,2,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Shop Niacinamide Body Mist,2,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Shop Niacinamide SPF50,1,1,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Lightweight SPF50 gel sunscreen with niacinamide & hyaluronic acid.,1,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Evening Pigment Corrector,0,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Shop Evening Pigment Corrector,0,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Shop Evening Pigment Corrector online at Pastry Skincare.,0,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Overnight pigment corrector for stubborn dark marks & hyperpigmentation.,0,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Glycolic Acid & Niacinamide,0,0,0.0,0.0,NOT_APPLICABLE,2
Pastry | Sea,HEADLINE,Shop Glycolic Bundle,0,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Shop Glycolic Acid & Niacinamide Bundle online at Pastry Skincare.,0,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Bestselling duo — glycolic acid body wash + niacinamide lotion.,0,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Shop Glycolic Mini Kit,0,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Pigmentation Mini Kit 250ml,0,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Shop Glycolic Acid & Niacinamide Mini kit online at Pastry Skincare.,0,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Starter pigmentation kit — glycolic acid body wash + niacinamide lotion + loofah.,0,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,SPF50 Gel Sunscreen,0,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Salicylic Acid & Niacinamide,0,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Shop Salicylic Mini Kit,0,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,HEADLINE,Skin Smoothing Mini Kit,0,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Shop Salicylic Acid & Niacinamide Mini Kit online at Pastry Skincare.,0,0,0.0,0.0,NOT_APPLICABLE,1
Pastry | Sea,DESCRIPTION,Peach salicylic acid body wash + grapefruit niacinamide lotion.,0,0,0.0,0.0,NOT_APPLICABLE,1
