Shared list name,Keyword,Criterion Type
Pastry | NEG | Brand routing,pastry,Negative Phrase
Pastry | NEG | Competitor brands,justine,Negative Phrase
Pastry | NEG | Retailers,dischem,Negative Phrase
Pastry | NEG | Retailers,dis-chem,Negative Phrase
Pastry | NEG | Retailers,clicks,Negative Phrase
Pastry | NEG | Retailers,woolworths,Negative Phrase
Pastry | NEG | Retailers,takealot,Negative Phrase
Pastry | NEG | Retailers,shoprite,Negative Phrase
Pastry | NEG | Retailers,checkers,Negative Phrase
Pastry | NEG | Retailers,pick n pay,Negative Phrase
Pastry | NEG | Retailers,amazon,Negative Phrase
Pastry | NEG | Retailers,superbalist,Negative Phrase
Pastry | NEG | Retailers,faithful to nature,Negative Phrase
Pastry | NEG | Informational and off-target,recipe,Negative Phrase
Pastry | NEG | Informational and off-target,recipes,Negative Phrase
Pastry | NEG | Informational and off-target,cake,Negative Phrase
Pastry | NEG | Informational and off-target,cakes,Negative Phrase
Pastry | NEG | Informational and off-target,bakery,Negative Phrase
Pastry | NEG | Informational and off-target,baking,Negative Phrase
Pastry | NEG | Informational and off-target,pie,Negative Phrase
Pastry | NEG | Informational and off-target,croissant,Negative Phrase
Pastry | NEG | Informational and off-target,how to make,Negative Phrase
Pastry | NEG | Informational and off-target,diy,Negative Phrase
Pastry | NEG | Informational and off-target,homemade,Negative Phrase
Pastry | NEG | Informational and off-target,home remedies,Negative Phrase
Pastry | NEG | Informational and off-target,meaning,Negative Phrase
Pastry | NEG | Informational and off-target,causes,Negative Phrase
Pastry | NEG | Informational and off-target,what is,Negative Phrase
Pastry | NEG | Informational and off-target,side effects,Negative Phrase
Pastry | NEG | Informational and off-target,laser,Negative Phrase
Pastry | NEG | Informational and off-target,chemical peel,Negative Phrase
Pastry | NEG | Informational and off-target,dermatologist,Negative Phrase
Pastry | NEG | Informational and off-target,doctor,Negative Phrase
Pastry | NEG | Informational and off-target,clinic,Negative Phrase
Pastry | NEG | Informational and off-target,wholesale,Negative Phrase
Pastry | NEG | Informational and off-target,bulk,Negative Phrase
Pastry | NEG | Informational and off-target,supplier,Negative Phrase
Pastry | NEG | Informational and off-target,distributor,Negative Phrase
Pastry | NEG | Informational and off-target,private label,Negative Phrase
Pastry | NEG | Informational and off-target,job,Negative Phrase
Pastry | NEG | Informational and off-target,jobs,Negative Phrase
Pastry | NEG | Informational and off-target,vacancies,Negative Phrase
Pastry | NEG | Informational and off-target,salary,Negative Phrase
Pastry | NEG | Informational and off-target,course,Negative Phrase
Pastry | NEG | Informational and off-target,free,Negative Phrase
Pastry | NEG | Informational and off-target,cheap,Negative Phrase
Pastry | NEG | Informational and off-target,review,Negative Phrase
Pastry | NEG | Informational and off-target,reviews,Negative Phrase
Pastry | NEG | Informational and off-target,vs,Negative Phrase
Pastry | NEG | Informational and off-target,before and after,Negative Phrase
Pastry | NEG | Informational and off-target,pregnancy,Negative Phrase
Pastry | NEG | Informational and off-target,boy or girl,Negative Phrase
Pastry | NEG | Informational and off-target,penis,Negative Phrase
Pastry | NEG | Informational and off-target,men,Negative Phrase
Pastry | NEG | Informational and off-target,mens,Negative Phrase
Pastry | NEG | Informational and off-target,baby,Negative Phrase
Pastry | NEG | Informational and off-target,kids,Negative Phrase
Pastry | NEG | Informational and off-target,child,Negative Phrase
Pastry | NEG | Positioning and stock,whitening,Negative Phrase
Pastry | NEG | Positioning and stock,lightening,Negative Phrase
Pastry | NEG | Positioning and stock,bleach,Negative Phrase
Pastry | NEG | Positioning and stock,bleaching,Negative Phrase
Pastry | NEG | Positioning and stock,skin lightening,Negative Phrase
Pastry | NEG | Positioning and stock,hand cream,Negative Phrase
Pastry | NEG | Positioning and stock,hand lotion,Negative Phrase
