Campaign,Campaign Type,Campaign Status,Networks,Budget,Budget type,Bid Strategy Type,Languages,Location,Ad Group,Ad Group Status,Max CPC,Keyword,Criterion Type,Final URL,Final URL suffix,Ad type,Status,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
Pastry | Search | Body Wash | ZA | 2026-09,Search,Paused,Google search,150,Daily,Manual CPC,en,South Africa,,,,,,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_term={keyword}&utm_content={creative},,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Salicylic Acid Body Wash,,4.00,acne body wash,Exact,https://pastryskincare.co.za/products/salicylic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Salicylic Acid Body Wash,,3.50,body wash for body acne,Exact,https://pastryskincare.co.za/products/salicylic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Salicylic Acid Body Wash,,3.50,back acne body wash,Exact,https://pastryskincare.co.za/products/salicylic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Salicylic Acid Body Wash,,3.50,salicylic acid shower gel,Exact,https://pastryskincare.co.za/products/salicylic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Salicylic Acid Body Wash,,,,,https://pastryskincare.co.za/products/salicylic-acid-body-wash,,Responsive search ad,Enabled,salicylic,body-wash,Salicylic Acid Body Wash,Shop Salicylic Acid Body Wash,SLS-Free Salicylic Body Wash,Salicylic Body Wash From R330,For Body Acne & Rough Bumps,"For Bumpy, Textured Skin",Body Acne Body Wash 500ml,Pastry Salicylic Wash,Fragrance-Free Option,Pair With Niacinamide Lotion,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,Shop Online Today,"SLS-free salicylic acid body wash for body acne, bumps and textured skin. 500ml from R330.",Helps keep pores clear and skin smoother-looking with daily use. Fragrance-free option.,Complete the routine with Niacinamide Body Lotion. Shop Pastry Skincare online.,Made in South Africa for melanin-rich skin. Fragrance-free options available.
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Lactic Acid Body Wash,Enabled,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Lactic Acid Body Wash,,4.00,lactic acid body wash,Exact,https://pastryskincare.co.za/products/lactic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Lactic Acid Body Wash,,4.00,lactic acid body wash,Phrase,https://pastryskincare.co.za/products/lactic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Lactic Acid Body Wash,,3.00,body wash for sensitive skin,Exact,https://pastryskincare.co.za/products/lactic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Lactic Acid Body Wash,,3.00,body wash for keratosis pilaris,Exact,https://pastryskincare.co.za/products/lactic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Lactic Acid Body Wash,,,,,https://pastryskincare.co.za/products/lactic-acid-body-wash,,Responsive search ad,Enabled,lactic,body-wash,Lactic Acid Body Wash,Shop Lactic Acid Body Wash,Gentle Lactic Body Wash,Lactic Body Wash R310,"For Sensitive, Dry Body Skin",Gentle Daily Exfoliation,SLS-Free & Fragrance-Free,Pastry Lactic Acid Wash,"Softer, Smoother-Looking Skin",500ml Pump Bottle,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,Shop Online Today,"Gentle lactic acid body wash for sensitive, dry or rough-feeling skin. SLS-free. R310.",Mild daily exfoliation that leaves skin softer and smoother-looking. 500ml pump bottle.,Shop Lactic Acid Body Wash online at Pastry Skincare. Made in South Africa.,Made in South Africa for melanin-rich skin. Fragrance-free options available.
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Mandelic Acid Body Wash,Enabled,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Mandelic Acid Body Wash,,3.00,mandelic acid body wash,Exact,https://pastryskincare.co.za/products/mandelic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Mandelic Acid Body Wash,,3.00,mandelic acid body wash,Phrase,https://pastryskincare.co.za/products/mandelic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Mandelic Acid Body Wash,,,,,https://pastryskincare.co.za/products/mandelic-acid-body-wash,,Responsive search ad,Enabled,mandelic,body-wash,Mandelic Acid Body Wash,Shop Mandelic Acid Body Wash,"Mandelic, Kojic & Licorice",For Dark-Mark-Prone Skin,SLS-Free Body Wash,Gentle AHA For Dark Marks,Pastry Mandelic Body Wash,Fragrance-Free 500ml,Made In South Africa,Shop Online Today,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,,"SLS-free body wash with mandelic acid, kojic acid and licorice root. Fragrance-free.","A gentler AHA for dark-mark-prone, uneven-looking body skin. Shop Pastry Skincare online.",Made in South Africa for melanin-rich skin. Fragrance-free formula.,Made in South Africa for melanin-rich skin. Fragrance-free options available.
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Brightening Body Wash (concern),Enabled,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Brightening Body Wash (concern),,4.00,body wash for hyperpigmentation,Exact,https://pastryskincare.co.za/products/glycolic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Brightening Body Wash (concern),,4.00,brightening body wash,Exact,https://pastryskincare.co.za/products/glycolic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Brightening Body Wash (concern),,3.50,body wash for dark marks,Exact,https://pastryskincare.co.za/products/glycolic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Brightening Body Wash (concern),,3.50,body wash for dark inner thighs,Exact,https://pastryskincare.co.za/products/glycolic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Brightening Body Wash (concern),,3.50,exfoliating body wash,Exact,https://pastryskincare.co.za/products/glycolic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Brightening Body Wash (concern),,3.50,body wash for strawberry legs,Exact,https://pastryskincare.co.za/products/glycolic-acid-body-wash,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Wash | ZA | 2026-09,,,,,,,,,Brightening Body Wash (concern),,,,,https://pastryskincare.co.za/products/glycolic-acid-body-wash,,Responsive search ad,Enabled,brightening,body-wash,Body Wash For Dark Marks,Brightening Body Wash,Glycolic Acid Body Wash,SLS-Free Exfoliating Wash,For Uneven-Looking Body Skin,"Inner Thighs, Knees & Elbows","Smoother, Brighter-Looking",Body Wash From R330,No Bleaching. No Burning.,Pastry Skincare Body Care,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,Shop Online Today,"Glycolic acid body wash for dark marks and uneven tone on inner thighs, knees and elbows.","No bleaching, no burning. SLS-free exfoliating body wash for melanin-rich skin. From R330.",Pair with Niacinamide Body Lotion for the full even-tone routine. Shop online.,Made in South Africa for melanin-rich skin. Fragrance-free options available.
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Niacinamide Body Lotion,Enabled,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Niacinamide Body Lotion,,6.50,niacinamide body lotion,Exact,https://pastryskincare.co.za/products/niacinamide-body-lotion,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Niacinamide Body Lotion,,6.50,niacinamide body lotion,Phrase,https://pastryskincare.co.za/products/niacinamide-body-lotion,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Niacinamide Body Lotion,,5.00,niacinamide lotion,Exact,https://pastryskincare.co.za/products/niacinamide-body-lotion,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Niacinamide Body Lotion,,4.00,niacinamide body moisturiser,Exact,https://pastryskincare.co.za/products/niacinamide-body-lotion,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Niacinamide Body Lotion,,,,,https://pastryskincare.co.za/products/niacinamide-body-lotion,,Responsive search ad,Enabled,niacinamide,body-lotion,Niacinamide Body Lotion,Shop Niacinamide Body Lotion,Niacinamide & Panthenol Lotion,Body Lotion From R325,For Dark Marks & Uneven Tone,Pastry Niacinamide Lotion,Lightweight Daily Body Lotion,Fragrance-Free Option,Pair With Glycolic Body Wash,500ml Pump Bottle,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,Shop Online Today,"Niacinamide and panthenol body lotion for uneven-looking, dark-mark-prone skin. R325.",Lightweight daily lotion that hydrates and supports a more even-looking tone.,Pair with Glycolic Acid Body Wash for the full routine. Shop Pastry Skincare online.,Made in South Africa for melanin-rich skin. Fragrance-free options available.
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Brightening Body Lotion (concern),Enabled,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Brightening Body Lotion (concern),,4.50,brightening body lotion,Exact,https://pastryskincare.co.za/products/niacinamide-body-lotion,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Brightening Body Lotion (concern),,4.50,skin brightening body lotion,Exact,https://pastryskincare.co.za/products/niacinamide-body-lotion,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Brightening Body Lotion (concern),,5.00,body lotion for hyperpigmentation,Exact,https://pastryskincare.co.za/products/niacinamide-body-lotion,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Brightening Body Lotion (concern),,4.00,body lotion for glowing skin,Exact,https://pastryskincare.co.za/products/niacinamide-body-lotion,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Brightening Body Lotion (concern),,4.00,body lotion for dark spots,Exact,https://pastryskincare.co.za/products/niacinamide-body-lotion,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Brightening Body Lotion (concern),,3.50,even tone body lotion,Exact,https://pastryskincare.co.za/products/niacinamide-body-lotion,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Brightening Body Lotion (concern),,,,,https://pastryskincare.co.za/products/niacinamide-body-lotion,,Responsive search ad,Enabled,brightening,body-lotion,Brightening Body Lotion,Niacinamide Body Lotion,Body Lotion For Dark Marks,Even Tone Body Lotion,For Melanin-Rich Skin,"Glowing, Even-Looking Skin",No Bleaching. No Burning.,Body Lotion From R325,Fragrance-Free Option,Pastry Skincare Body Care,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,Shop Online Today,Niacinamide body lotion for dark marks and uneven-looking tone. No bleaching. From R325.,"Daily hydration that supports glowing, even-looking skin. Made for melanin-rich skin.",Shop Niacinamide Body Lotion online at Pastry Skincare. Fragrance-free option.,Made in South Africa for melanin-rich skin. Fragrance-free options available.
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Vitamin C Body Cream,Enabled,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Vitamin C Body Cream,,4.50,vitamin c body cream,Exact,https://pastryskincare.co.za/products/vitamin-c-body-cream,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Vitamin C Body Cream,,4.50,vitamin c body lotion,Exact,https://pastryskincare.co.za/products/vitamin-c-body-cream,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Vitamin C Body Cream,,4.00,vitamin c body cream,Phrase,https://pastryskincare.co.za/products/vitamin-c-body-cream,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Vitamin C Body Cream,,,,,https://pastryskincare.co.za/products/vitamin-c-body-cream,,Responsive search ad,Enabled,vitamin-c,body-cream,Vitamin C Body Cream,Shop Vitamin C Body Cream,Vitamin C & Vitamin E Cream,Body Cream From R285,"For Dull, Uneven-Looking Skin",Rich Daily Body Cream 250ml,Mandarin Or Fragrance-Free,Pastry Vitamin C Body Cream,Brighter-Looking Body Skin,Made In South Africa,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,Shop Online Today,"Vitamin C and vitamin E body cream for dull, uneven-looking skin. 250ml from R285.",Rich daily body cream that hydrates and supports brighter-looking skin. Shop online.,Mandarin or fragrance-free. Made in South Africa for melanin-rich skin.,Made in South Africa for melanin-rich skin. Fragrance-free options available.
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Niacinamide Body Butter,Enabled,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Niacinamide Body Butter,,3.00,niacinamide body butter,Exact,https://pastryskincare.co.za/products/niacinamide-body-butter,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Niacinamide Body Butter,,3.00,body butter for dark marks,Exact,https://pastryskincare.co.za/products/niacinamide-body-butter,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Niacinamide Body Butter,,,,,https://pastryskincare.co.za/products/niacinamide-body-butter,,Responsive search ad,Enabled,niacinamide,body-butter,Niacinamide Body Butter,Shop Niacinamide Body Butter,Rich Body Butter From R205,Deep Hydration & Even Tone,"For Dry, Uneven-Looking Skin",Pastry Niacinamide Butter,Fragrance-Free Option,250ml Body Butter,Made In South Africa,Shop Online Today,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,,Rich niacinamide body butter for deep hydration and a more even-looking tone. From R205.,"For dry, rough or uneven-looking body skin. Fragrance-free or grapefruit. Shop online.",Made in South Africa for melanin-rich skin.,Made in South Africa for melanin-rich skin. Fragrance-free options available.
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Hyaluronic Acid Body Lotion,Enabled,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Hyaluronic Acid Body Lotion,,5.00,hyaluronic acid body lotion,Exact,https://pastryskincare.co.za/products/hyaluronic-acid-body-lotion,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Hyaluronic Acid Body Lotion,,3.50,body lotion for dry skin,Exact,https://pastryskincare.co.za/products/hyaluronic-acid-body-lotion,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Hyaluronic Acid Body Lotion,,,,,https://pastryskincare.co.za/products/hyaluronic-acid-body-lotion,,Responsive search ad,Enabled,hyaluronic,body-lotion,Hyaluronic Acid Body Lotion,Shop Hyaluronic Body Lotion,Hydrating Body Lotion R290,Hyaluronic Acid & Panthenol,"For Dry, Dehydrated Body Skin",Lightweight Daily Hydration,Fragrance-Free 500ml,Pastry Hyaluronic Lotion,Made In South Africa,Shop Online Today,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,,"Body lotion with hyaluronic acid and panthenol for dry, dehydrated skin. 500ml, R290.",Lightweight daily hydration that leaves skin softer and smoother-feeling. Shop online.,Fragrance-free. Made in South Africa for melanin-rich skin.,Made in South Africa for melanin-rich skin. Fragrance-free options available.
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Overnight Body Treatment (BHA),Enabled,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Overnight Body Treatment (BHA),,3.00,bha overnight body balm,Exact,https://pastryskincare.co.za/products/bha-overnight-body-balm,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Overnight Body Treatment (BHA),,3.00,overnight body balm,Exact,https://pastryskincare.co.za/products/bha-overnight-body-balm,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Overnight Body Treatment (BHA),,3.00,bha body balm,Exact,https://pastryskincare.co.za/products/bha-overnight-body-balm,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Overnight Body Treatment (BHA),,,,,https://pastryskincare.co.za/products/bha-overnight-body-balm,,Responsive search ad,Enabled,bha,body-balm,BHA Overnight Body Balm,Shop BHA Overnight Body Balm,Overnight Body Balm R385,Salicylic & Azelaic Acid Balm,For Bumps & Dark Marks,Overnight Smoothing Body Balm,Pastry BHA Body Balm,Fragrance-Free Or Rose,Made In South Africa,Shop Online Today,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,,"Overnight body balm with salicylic acid, niacinamide, azelaic acid and squalane. R385.",For rough bumps and dark marks on the body. Apply at night for smoother-feeling skin.,Shop BHA Overnight Body Balm online at Pastry Skincare. Fragrance-free or rose.,Made in South Africa for melanin-rich skin. Fragrance-free options available.
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,BHA Body Gel Serum,Enabled,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,BHA Body Gel Serum,,3.00,bha body gel,Exact,https://pastryskincare.co.za/products/bha-body-gel,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,BHA Body Gel Serum,,3.00,bha body serum,Exact,https://pastryskincare.co.za/products/bha-body-gel,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,BHA Body Gel Serum,,3.50,salicylic acid body serum,Exact,https://pastryskincare.co.za/products/bha-body-gel,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,BHA Body Gel Serum,,,,,https://pastryskincare.co.za/products/bha-body-gel,,Responsive search ad,Enabled,bha,body-gel,BHA Body Gel Serum,Shop BHA Body Gel Serum,Salicylic Acid Body Serum,Body Gel Serum R210,"For Bumpy, Congested Skin",Water-Based BHA Body Gel,Pastry BHA Body Gel,Targets Bumps & Rough Texture,Made In South Africa,Shop Online Today,Pastry Skincare Official Store,Proudly South African Brand,Made For Melanin-Rich Skin,Fragrance-Free Options,,"Water-based BHA body gel with salicylic and citric acid for bumpy, congested skin. R210.","A targeted body serum for rough texture on backs, arms and legs. Shop online.",Made in South Africa for melanin-rich skin.,Made in South Africa for melanin-rich skin. Fragrance-free options available.
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Brightening Body Oil,Enabled,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Brightening Body Oil,,3.50,brightening body oil,Exact,https://pastryskincare.co.za/products/brightening-body-oil-vitamin-c,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Brightening Body Oil,,3.00,vitamin c body oil,Exact,https://pastryskincare.co.za/products/brightening-body-oil-vitamin-c,,,Enabled,,,,,,,,,,,,,,,,,,,,,
Pastry | Search | Body Lotion & Treatment | ZA | 2026-09,,,,,,,,,Brightening Body Oil,,3.00,body oil for dark marks,Exact,https://pastryskincare.co.za/products/brightening-body-oil-vitamin-c,,,Enabled,,,,,,,,,,,,,,,,,,,,,
